BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
AWJG01B01,AWJG01B01_S86,GCA_023055435.1,AWJG01B01_S86_R1_001.fastq.gz,AWJG01B01_S86_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG01B01_S86,73-Haliotis
AWJG01D01,AWJG01D01_S85,GCA_023055435.1,AWJG01D01_S85_R1_001.fastq.gz,AWJG01D01_S85_R2_001.fastq.gz,36.639425,-121.93438888888889,73-Haliotis,AWJG01D01_S85,73-Haliotis
AWJG01E01,AWJG01E01_S84,GCA_023055435.1,AWJG01E01_S84_R1_001.fastq.gz,AWJG01E01_S84_R2_001.fastq.gz,33.70445,-118.2946,73-Haliotis,AWJG01E01_S84,73-Haliotis
AWJG01A02,AWJG01A02_S82,GCA_023055435.1,AWJG01A02_S82_R1_001.fastq.gz,AWJG01A02_S82_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG01A02_S82,73-Haliotis
AWJG01F01,AWJG01F01_S83,GCA_023055435.1,AWJG01F01_S83_R1_001.fastq.gz,AWJG01F01_S83_R2_001.fastq.gz,31.86674,-116.59637,73-Haliotis,AWJG01F01_S83,73-Haliotis
AWJG01B02,AWJG01B02_S81,GCA_023055435.1,AWJG01B02_S81_R1_001.fastq.gz,AWJG01B02_S81_R2_001.fastq.gz,38.45571944444445,-123.14509722222223,73-Haliotis,AWJG01B02_S81,73-Haliotis
AWJG01C02,AWJG01C02_S80,GCA_023055435.1,AWJG01C02_S80_R1_001.fastq.gz,AWJG01C02_S80_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG01C02_S80,73-Haliotis
AWJG01D02,AWJG01D02_S79,GCA_023055435.1,AWJG01D02_S79_R1_001.fastq.gz,AWJG01D02_S79_R2_001.fastq.gz,35.21835,-120.86861,73-Haliotis,AWJG01D02_S79,73-Haliotis
AWJG01E02,AWJG01E02_S78,GCA_023055435.1,AWJG01E02_S78_R1_001.fastq.gz,AWJG01E02_S78_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG01E02_S78,73-Haliotis
AWJG01F02,AWJG01F02_S77,GCA_023055435.1,AWJG01F02_S77_R1_001.fastq.gz,AWJG01F02_S77_R2_001.fastq.gz,42.04461111111111,-124.2839361111111,73-Haliotis,AWJG01F02_S77,73-Haliotis
AWJG01G02,AWJG01G02_S76,GCA_023055435.1,AWJG01G02_S76_R1_001.fastq.gz,AWJG01G02_S76_R2_001.fastq.gz,42.738905555555554,-124.50217777777777,73-Haliotis,AWJG01G02_S76,73-Haliotis
AWJG01B03,AWJG01B03_S73,GCA_023055435.1,AWJG01B03_S73_R1_001.fastq.gz,AWJG01B03_S73_R2_001.fastq.gz,38.45571944444445,-123.14509722222223,73-Haliotis,AWJG01B03_S73,73-Haliotis
AWJG01C03,AWJG01C03_S72,GCA_023055435.1,AWJG01C03_S72_R1_001.fastq.gz,AWJG01C03_S72_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG01C03_S72,73-Haliotis
AWJG01A03,AWJG01A03_S74,GCA_023055435.1,AWJG01A03_S74_R1_001.fastq.gz,AWJG01A03_S74_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG01A03_S74,73-Haliotis
AWJG01H02,AWJG01H02_S75,GCA_023055435.1,AWJG01H02_S75_R1_001.fastq.gz,AWJG01H02_S75_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG01H02_S75,73-Haliotis
AWJG01D03,AWJG01D03_S71,GCA_023055435.1,AWJG01D03_S71_R1_001.fastq.gz,AWJG01D03_S71_R2_001.fastq.gz,35.21835,-120.86861,73-Haliotis,AWJG01D03_S71,73-Haliotis
AWJG01E03,AWJG01E03_S70,GCA_023055435.1,AWJG01E03_S70_R1_001.fastq.gz,AWJG01E03_S70_R2_001.fastq.gz,31.54910277777778,-116.68323611111111,73-Haliotis,AWJG01E03_S70,73-Haliotis
AWJG01F03,AWJG01F03_S69,GCA_023055435.1,AWJG01F03_S69_R1_001.fastq.gz,AWJG01F03_S69_R2_001.fastq.gz,42.04461111111111,-124.2839361111111,73-Haliotis,AWJG01F03_S69,73-Haliotis
AWJG01G03,AWJG01G03_S68,GCA_023055435.1,AWJG01G03_S68_R1_001.fastq.gz,AWJG01G03_S68_R2_001.fastq.gz,42.738905555555554,-124.50217777777777,73-Haliotis,AWJG01G03_S68,73-Haliotis
AWJG01F04,AWJG01F04_S62,GCA_023055435.1,AWJG01F04_S62_R1_001.fastq.gz,AWJG01F04_S62_R2_001.fastq.gz,42.04461111111111,-124.2839361111111,73-Haliotis,AWJG01F04_S62,73-Haliotis
AWJG01H03,AWJG01H03_S67,GCA_023055435.1,AWJG01H03_S67_R1_001.fastq.gz,AWJG01H03_S67_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG01H03_S67,73-Haliotis
AWJG01D04,AWJG01D04_S64,GCA_023055435.1,AWJG01D04_S64_R1_001.fastq.gz,AWJG01D04_S64_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG01D04_S64,73-Haliotis
AWJG01B04,AWJG01B04_S65,GCA_023055435.1,AWJG01B04_S65_R1_001.fastq.gz,AWJG01B04_S65_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG01B04_S65,73-Haliotis
AWJG01E04,AWJG01E04_S63,GCA_023055435.1,AWJG01E04_S63_R1_001.fastq.gz,AWJG01E04_S63_R2_001.fastq.gz,31.46263611111111,-116.59057777777777,73-Haliotis,AWJG01E04_S63,73-Haliotis
AWJG01G04,AWJG01G04_S61,GCA_023055435.1,AWJG01G04_S61_R1_001.fastq.gz,AWJG01G04_S61_R2_001.fastq.gz,42.738905555555554,-124.50217777777777,73-Haliotis,AWJG01G04_S61,73-Haliotis
AWJG01A04,AWJG01A04_S66,GCA_023055435.1,AWJG01A04_S66_R1_001.fastq.gz,AWJG01A04_S66_R2_001.fastq.gz,38.563975,-123.33383888888888,73-Haliotis,AWJG01A04_S66,73-Haliotis
AWJG01A06,AWJG01A06_S52,GCA_023055435.1,AWJG01A06_S52_R1_001.fastq.gz,AWJG01A06_S52_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG01A06_S52,73-Haliotis
AWJG01H04,AWJG01H04_S60,GCA_023055435.1,AWJG01H04_S60_R1_001.fastq.gz,AWJG01H04_S60_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG01H04_S60,73-Haliotis
AWJG01A05,AWJG01A05_S59,GCA_023055435.1,AWJG01A05_S59_R1_001.fastq.gz,AWJG01A05_S59_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG01A05_S59,73-Haliotis
AWJG01F05,AWJG01F05_S54,GCA_023055435.1,AWJG01F05_S54_R1_001.fastq.gz,AWJG01F05_S54_R2_001.fastq.gz,42.04461111111111,-124.2839361111111,73-Haliotis,AWJG01F05_S54,73-Haliotis
AWJG01D05,AWJG01D05_S56,GCA_023055435.1,AWJG01D05_S56_R1_001.fastq.gz,AWJG01D05_S56_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG01D05_S56,73-Haliotis
AWJG01B05,AWJG01B05_S58,GCA_023055435.1,AWJG01B05_S58_R1_001.fastq.gz,AWJG01B05_S58_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG01B05_S58,73-Haliotis
AWJG01G05,AWJG01G05_S53,GCA_023055435.1,AWJG01G05_S53_R1_001.fastq.gz,AWJG01G05_S53_R2_001.fastq.gz,41.050533333333334,-124.15049166666667,73-Haliotis,AWJG01G05_S53,73-Haliotis
AWJG01C05,AWJG01C05_S57,GCA_023055435.1,AWJG01C05_S57_R1_001.fastq.gz,AWJG01C05_S57_R2_001.fastq.gz,36.639425,-121.93438888888889,73-Haliotis,AWJG01C05_S57,73-Haliotis
AWJG01E05,AWJG01E05_S55,GCA_023055435.1,AWJG01E05_S55_R1_001.fastq.gz,AWJG01E05_S55_R2_001.fastq.gz,31.46263611111111,-116.59057777777777,73-Haliotis,AWJG01E05_S55,73-Haliotis
AWJG01B06,AWJG01B06_S51,GCA_023055435.1,AWJG01B06_S51_R1_001.fastq.gz,AWJG01B06_S51_R2_001.fastq.gz,38.530525,-123.27260555555556,73-Haliotis,AWJG01B06_S51,73-Haliotis
AWJG01C06,AWJG01C06_S50,GCA_023055435.1,AWJG01C06_S50_R1_001.fastq.gz,AWJG01C06_S50_R2_001.fastq.gz,37.98801666666667,-122.96269722222223,73-Haliotis,AWJG01C06_S50,73-Haliotis
AWJG01D06,AWJG01D06_S49,GCA_023055435.1,AWJG01D06_S49_R1_001.fastq.gz,AWJG01D06_S49_R2_001.fastq.gz,36.620733333333334,-121.90196666666667,73-Haliotis,AWJG01D06_S49,73-Haliotis
AWJG01F06,AWJG01F06_S47,GCA_023055435.1,AWJG01F06_S47_R1_001.fastq.gz,AWJG01F06_S47_R2_001.fastq.gz,42.04461111111111,-124.2839361111111,73-Haliotis,AWJG01F06_S47,73-Haliotis
AWJG01H06,AWJG01H06_S46,GCA_023055435.1,AWJG01H06_S46_R1_001.fastq.gz,AWJG01H06_S46_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG01H06_S46,73-Haliotis
AWJG01E06,AWJG01E06_S48,GCA_023055435.1,AWJG01E06_S48_R1_001.fastq.gz,AWJG01E06_S48_R2_001.fastq.gz,33.70445,-118.2946,73-Haliotis,AWJG01E06_S48,73-Haliotis
AWJG01A07,AWJG01A07_S45,GCA_023055435.1,AWJG01A07_S45_R1_001.fastq.gz,AWJG01A07_S45_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG01A07_S45,73-Haliotis
AWJG01B07,AWJG01B07_S44,GCA_023055435.1,AWJG01B07_S44_R1_001.fastq.gz,AWJG01B07_S44_R2_001.fastq.gz,31.86674,-116.59637,73-Haliotis,AWJG01B07_S44,73-Haliotis
AWJG01G07,AWJG01G07_S40,GCA_023055435.1,AWJG01G07_S40_R1_001.fastq.gz,AWJG01G07_S40_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG01G07_S40,73-Haliotis
AWJG01H07,AWJG01H07_S39,GCA_023055435.1,AWJG01H07_S39_R1_001.fastq.gz,AWJG01H07_S39_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG01H07_S39,73-Haliotis
AWJG01D07,AWJG01D07_S43,GCA_023055435.1,AWJG01D07_S43_R1_001.fastq.gz,AWJG01D07_S43_R2_001.fastq.gz,35.21835,-120.86861,73-Haliotis,AWJG01D07_S43,73-Haliotis
